,name,salary_from,salary_to,salary_currency,area_name,published_at
2483,SAP BW/BI специалист,,,,Москва,2022-12-15T13:49:43+0300
2484,Java Developer,,,,Воронеж,2022-12-15T15:33:03+0300
2485,Ведущий аудитор защищенности приложений (application security),,,,Москва,2022-12-15T17:06:50+0300
2486,Бренд-менеджер (начинающий специалист),,,,Алматы,2022-12-15T14:48:15+0300
2487,"Разработчик PL/SQL, Oracle",,,,Москва,2022-12-15T13:06:16+0300
2488,Токарь-расточник,109000.0,,RUR,Санкт-Петербург,2022-12-15T17:00:13+0300
2489,Наладчик производственного оборудования (наладчик КиПА),70000.0,80000.0,RUR,Мытищи,2022-12-15T15:36:45+0300
2490,Токарь,50000.0,,RUR,Екатеринбург,2022-12-15T13:11:09+0300
2491,Программист-разработчик (Bitrix),150000.0,180000.0,RUR,Москва,2022-12-15T14:25:57+0300
2492,React / React Native Developer (Limassol),,,,Кипр,2022-12-15T13:39:52+0300
2493,Шлифовщик (Ярославская область),97000.0,105000.0,RUR,Владимир,2022-12-15T15:26:38+0300
2494,"Python Engineer (remote)/Middle, Senior",,,,Москва,2022-12-15T14:50:32+0300
2495,Аналитик по информационной безопасности,,,,Москва,2022-12-15T16:07:48+0300
2496,Токарь-расточник 5 разряда,35000.0,60000.0,RUR,Пенза,2022-12-15T16:31:42+0300
2497,Менеджер по бизнес-процессам,37300.0,43700.0,RUR,Пермь,2022-12-15T12:31:43+0300
2498,Специалист по технической поддержке,80000.0,,RUR,Ногинск,2022-12-15T13:16:38+0300
2499,Python developer Middle+,200000.0,220000.0,RUR,Новосибирск,2022-12-15T17:22:30+0300
2500,Строгальщик,120000.0,120000.0,RUR,Чебоксары,2022-12-15T13:51:21+0300
2501,Системный аналитик 1С,,,,Москва,2022-12-15T15:21:45+0300
2502,Технический специалист,,,,Москва,2022-12-15T16:54:03+0300
2503,Специалист технического отдела,,,,Москва,2022-12-15T15:09:19+0300
2504,Middle Java Developer в Черногорию,,,,Новосибирск,2022-12-15T13:27:29+0300
2505,Системный аналитик,200000.0,280000.0,RUR,Москва,2022-12-15T17:53:03+0300
2506,Аналитик/Ведущий аналитик/Методолог 1С:Документооборота,,,,Москва,2022-12-15T12:39:35+0300
2507,1С Программист (ЗУП),,,,Челябинск,2022-12-15T15:50:36+0300
2508,Ведущий специалист отдела Корпоративный центр взаимодействия с системой «ГосСОПКА»,,,,Москва,2022-12-15T14:16:23+0300
2509,Приходящий системный администратор/инженер (IT-аутсорсинг),,,,Пыть-Ях,2022-12-15T12:17:09+0300
