,name,salary_from,salary_to,salary_currency,area_name,published_at
0,Frontend разработчик / Верстальщик,80000.0,130000.0,RUR,Москва,2022-12-15T03:09:13+0300
1,Frontend developer,,,,Казань,2022-12-15T02:48:49+0300
2,Фронтенд-разработчик,90000.0,,RUR,Кемерово,2022-12-15T05:12:41+0300
3,Бизнес-аналитик,100000.0,,RUR,Барнаул,2022-12-15T05:15:30+0300
4,Бизнес-аналитик,1500.0,2500.0,USD,Тбилиси,2022-12-15T01:16:05+0300
5,Механик,175000.0,,RUR,Владивосток,2022-12-15T02:20:48+0300
6,Механик по автотранспорту (Иркутская область),140000.0,140000.0,RUR,Иркутск,2022-12-15T05:31:15+0300
7,Графический дизайнер,35000.0,,RUR,Гатчина,2022-12-15T00:46:47+0300
8,Специалист-аналитик Молодежного центра,80000.0,,RUR,Владивосток,2022-12-15T03:44:56+0300
9,Менеджер проектов/IT Project Manager,100000.0,,RUR,Барнаул,2022-12-15T05:12:38+0300
10,Оператор станков с ПУ,60000.0,,RUR,Красноярск,2022-12-15T05:05:42+0300
11,Полиграфический дизайнер,,,,Иркутск,2022-12-15T04:32:24+0300
12,Наладчик КИПиА,40000.0,80000.0,RUR,Нальчик,2022-12-15T01:16:07+0300
13,Senior/Middle Frontend-разработчик,180000.0,280000.0,RUR,Тверь,2022-12-15T05:58:06+0300
14,Продуктовый аналитик r_keeper,,,,Москва,2022-12-15T01:08:56+0300
15,Системный администратор,60000.0,100000.0,RUR,Долгопрудный,2022-12-15T03:12:06+0300
16,Специалист по информационной безопасности,45000.0,,RUR,Барнаул,2022-12-15T05:35:14+0300
17,Оператор лазерного станка,60000.0,,RUR,Санкт-Петербург,2022-12-15T00:29:56+0300
18,Системный администратор,35000.0,35000.0,RUR,Улан-Удэ,2022-12-15T03:38:42+0300
19,Системный администратор,35000.0,45000.0,RUR,Екатеринбург,2022-12-15T05:54:50+0300
20,"Менеджер IT, EdTech",100000.0,,RUR,Долгопрудный,2022-12-15T03:24:20+0300
21,Копирайтер Молодежного Центра,,45000.0,RUR,Владивосток,2022-12-15T04:12:45+0300
22,"Менеджер IT, EdTech",100000.0,,RUR,Москва,2022-12-15T03:24:20+0300
23,Бизнес-аналитик,,,,Москва,2022-12-15T02:43:09+0300
24,Middle-разработчик Python,,,,Москва,2022-12-15T01:47:12+0300
25,Токарь,75000.0,,RUR,Новосибирск,2022-12-15T04:37:33+0300
26,Технический редактор,,,,Новосибирск,2022-12-15T05:15:08+0300
27,Сервисный инженер-механик,70000.0,,RUR,Мыски,2022-12-15T05:16:23+0300
28,Инженер-механик (ОСУ и АСУ ТП),240000.0,240000.0,RUR,Самара,2022-12-15T03:01:28+0300
29,QA Engineer NGFW,,,,Санкт-Петербург,2022-12-15T05:05:38+0300
30,Механик автоколонны,75000.0,,RUR,Новокузнецк,2022-12-15T05:58:58+0300
31,Инженер-программист,,,,Бийск,2022-12-15T04:42:07+0300
32,Full Stack PHP Developer,120000.0,,RUR,Калининград,2022-12-15T05:48:38+0300
33,Инженер-механик (ОСУ и АСУ ТП),240000.0,240000.0,RUR,Новосибирск,2022-12-15T03:01:28+0300
34,Шлифовальщик по дереву,45000.0,55000.0,RUR,Красногорск,2022-12-15T00:29:56+0300
35,Механик,57557.0,57557.0,RUR,Бийск,2022-12-15T04:54:49+0300
36,Токарь,50000.0,60000.0,RUR,Хабаровск,2022-12-15T05:09:15+0300
37,Ведущий инженер проекта (конструктор-электрика),,,,Нижний Новгород,2022-12-15T02:54:13+0300
38,Сервисный инженер-механик,70000.0,,RUR,Новокузнецк,2022-12-15T05:16:23+0300
39,Специалист 1 линии технической поддержки,,,,Иркутск,2022-12-15T04:38:04+0300
40,Ведущий инженер проекта (конструктор-электрика),,,,Владивосток,2022-12-15T02:54:13+0300
41,Специалист отдела поддержки IT инфраструктуры,,,,Яшкино,2022-12-15T01:59:47+0300
42,Разработчик Oracle (стрим Витрины ПИК),,,,Москва,2022-12-15T01:29:47+0300
43,Специалист технической поддержки,,,,Шарыпово,2022-12-15T02:00:09+0300
44,"Оператор/оператор-технолог токарного, фрезерного станков с ЧПУ",60000.0,75000.0,RUR,Новосибирск,2022-12-15T05:40:19+0300
45,Сервисный инженер-механик,70000.0,,RUR,Киселевск,2022-12-15T05:16:23+0300
46,Продуктолог IT / Product manager,80000.0,100000.0,RUR,Владивосток,2022-12-15T01:48:04+0300
47,Наладчик станков и манипуляторов с ПУ,50000.0,,RUR,Красноярск,2022-12-15T05:05:41+0300
48,Ведущий специалист технической поддержки,,,,Павловск (Алтайский край),2022-12-15T02:00:21+0300
49,Администратор 1С,50000.0,,RUR,Хабаровск,2022-12-15T01:08:56+0300
50,Инженер сервисного центра,40000.0,60000.0,RUR,Иркутск,2022-12-15T04:08:38+0300
51,Аналитик DWH (стрим Витрины ПИК),,,,Нижний Новгород,2022-12-15T01:04:07+0300
52,Токарь,60000.0,,RUR,Красноярск,2022-12-15T05:05:41+0300
53,Middle QA engineer/Линейный тестировщик ПО,,,,Новосибирск,2022-12-15T05:34:45+0300
54,Инженер по продуктам/Product manager,,,,Новосибирск,2022-12-15T05:34:16+0300
55,Инженер по продажам запчастей на промышленные двигатели,100000.0,,RUR,Хабаровск,2022-12-15T05:09:05+0300
56,Специалист технической поддержки,,,,Норильск,2022-12-15T01:59:59+0300
57,Технический директор,150000.0,,RUR,Хабаровск,2022-12-15T04:40:44+0300
58,Ведущий инженер (ИТ-инфраструктура и связь),125000.0,125000.0,RUR,Южно-Сахалинск,2022-12-15T03:11:44+0300
59,Ведущий инженер проекта (конструктор-электрика),,,,Рыбинск,2022-12-15T02:54:13+0300
60,Токарь,,,,Красноярск,2022-12-15T04:59:43+0300
61,Инженер-программист АСУ ТП,,,,Братск,2022-12-15T05:10:56+0300
62,Senior-разработчик С,,,,Москва,2022-12-15T01:38:36+0300
63,Фрезеровщик,40000.0,45000.0,RUR,Барнаул,2022-12-15T05:02:49+0300
64,Golang developer (middle),3000.0,5000.0,USD,Тбилиси,2022-12-15T01:15:06+0300
65,Наладчик производственного оборудования (стажер. готовы обучить ),40000.0,,RUR,Березовский (Свердловская область),2022-12-15T05:09:17+0300
66,Механик (ремонт горного оборудования),89590.0,,RUR,Белово,2022-12-15T05:12:51+0300
67,Ведущий инженер проекта (конструктор-электрика),,,,Москва,2022-12-15T02:54:13+0300
68,1С Программист,,,,Алматы,2022-12-15T05:43:27+0300
69,Ведущий инженер проекта (конструктор-электрика),,,,Чебоксары,2022-12-15T02:54:13+0300
70,1С Программист,,,,Астана,2022-12-15T05:42:23+0300
71,Старший механик по дизель-гидравлическому транспорту,91000.0,,RUR,Ленинск-Кузнецкий,2022-12-15T04:29:57+0300
72,Ведущий инженер проекта (конструктор-электрика),,,,Мурманск,2022-12-15T02:54:13+0300
73,Специалист технической поддержки,30000.0,,RUR,Чита,2022-12-15T04:24:13+0300
74,Токарь,47000.0,,RUR,Новокузнецк,2022-12-15T05:58:57+0300
75,GO Developer/Ментор направления GO,,,,Москва,2022-12-15T04:44:31+0300
76,Оператор станка с ЧПУ,35000.0,,RUR,Топки,2022-12-15T05:23:41+0300
77,Ведущий специалист по технической поддержке пользователей,,,,Нерчинск,2022-12-15T02:00:14+0300
78,Разработчик Hadoop Big Data (стрим Витрины ПИК),,,,Москва,2022-12-15T01:16:39+0300
79,Сервисный инженер-механик,70000.0,,RUR,Прокопьевск,2022-12-15T05:16:23+0300
80,Ведущий специалист по информационным технологиям,,,,Краснокаменск,2022-12-15T02:00:17+0300
81,Сервисный инженер-механик,70000.0,,RUR,Междуреченск,2022-12-15T05:16:23+0300
82,Ведущий администратор вычислительной сети,46000.0,46000.0,RUR,Омск,2022-12-15T05:56:59+0300
83,Токарь-расточник,60000.0,,RUR,Красноярск,2022-12-15T05:05:41+0300
84,Ведущий инженер проекта (конструктор-электрика),,,,Санкт-Петербург,2022-12-15T02:54:13+0300
85,Специалист по информационным технологиям,,,,Чита,2022-12-15T02:00:34+0300
86,Фрезеровщик,60000.0,,RUR,Красноярск,2022-12-15T05:05:41+0300
87,Ведущий инженер проекта (конструктор-электрика),,,,Северодвинск,2022-12-15T02:54:13+0300
88,Senior Full Stack Developer,,,,Москва,2022-12-15T01:16:13+0300
89,Разработчик Oracle (стрим Витрины ПИК),,,,Санкт-Петербург,2022-12-15T01:27:40+0300
90,Инженер по транспорту,40000.0,,RUR,Чита,2022-12-15T03:18:02+0300
91,Эксперт направления RPA,,,,Новосибирск,2022-12-15T04:55:53+0300
92,Senior Full Stack Developer,,,,Санкт-Петербург,2022-12-15T01:16:17+0300
93,Монтажник (подключение к Интернету),65000.0,,RUR,Комсомольск-на-Амуре,2022-12-15T02:27:26+0300
94,Специалист по сервисному обслуживанию банковского оборудования,65000.0,,RUR,Анадырь,2022-12-15T03:48:10+0300
95,Фрезеровщик,,,,Бийск,2022-12-15T04:55:34+0300
96,Фрезеровщик,40000.0,44000.0,RUR,Томск,2022-12-15T04:21:55+0300
97,Начинающий специалист по обслуживанию POS-терминального оборудования,60000.0,,RUR,Петропавловск-Камчатский,2022-12-15T03:54:51+0300
98,Механик,32000.0,,RUR,Кемерово,2022-12-15T03:09:06+0300
99,Ведущий специалист по сопровождению программных продуктов,,,,Чита,2022-12-15T02:00:27+0300
100,GO Developer/Ментор направления GO,,,,Санкт-Петербург,2022-12-15T04:44:31+0300
101,Архитектор (Стрим Витрины ПИК),,,,Москва,2022-12-15T01:16:31+0300
102,Токарь,40000.0,60000.0,RUR,Томск,2022-12-15T04:21:55+0300
103,Наладчик станков с ЧПУ (по металлу),75000.0,,RUR,Томск,2022-12-15T04:21:56+0300
104,"Ведущий инженер программист, отдел прикладного программного обеспечения",,,,Красноярск,2022-12-15T05:57:01+0300
105,Ведущий инженер отдела прикладного программного обеспечения,,,,Красноярск,2022-12-15T05:57:04+0300
106,Токарь-универсал,59000.0,,RUR,Комсомольск-на-Амуре,2022-12-15T03:21:01+0300
107,Senior Data Analyst (Game),,,,Минск,2022-12-15T02:31:28+0300
108,Старший механик на портовый танкер,95000.0,95000.0,RUR,Владивосток,2022-12-15T02:55:20+0300
109,Инженер-аналитик,44000.0,,RUR,Новокузнецк,2022-12-15T05:58:58+0300
110,"Executive/Associate, Real Estate Advisory (Valuation and Сonsulting), Deal Advisory",,,,Москва,2022-12-15T00:14:39+0300
111,Оператор станков с ЧПУ (по металлу),40000.0,,RUR,Томск,2022-12-15T04:21:55+0300
112,Lead/Senior Data Analyst (User Acquisition),,,,Минск,2022-12-15T02:31:20+0300
113,Специалист по сопровождению маркет-плейсов,20000.0,20000.0,RUR,Бийск,2022-12-15T06:23:57+0300
114,Junior+ Web-дизайнер,,,,Москва,2022-12-15T11:51:44+0300
115,Программист-стажер,,,,Москва,2022-12-15T11:45:01+0300
116,"Инженер-наладчик, инженер по наладке и испытаниям (Бангладеш, Турция)",130000.0,200000.0,RUR,Удомля,2022-12-15T09:32:17+0300
117,Junior Data Scientist/Младший менеджер по обработке данных,,,,Москва,2022-12-15T10:14:19+0300
118,React JS developer,,,,Москва,2022-12-15T11:30:49+0300
119,Тестировщик/QA-инженер,,,,Москва,2022-12-15T10:53:30+0300
120,Аналитик,150000.0,180000.0,RUR,Москва,2022-12-15T11:42:00+0300
121,Тестировщик ПО,,,,Санкт-Петербург,2022-12-15T11:59:45+0300
122,Редактор текстов / SMM-менеджер,600.0,700.0,BYR,Пинск,2022-12-15T11:50:46+0300
123,Администратор телеграм-канала,30000.0,50000.0,RUR,Москва,2022-12-15T10:40:50+0300
124,Flutter разработчик (junior),200000.0,300000.0,KZT,Алматы,2022-12-15T08:39:33+0300
125,Программист C# (junior),40000.0,,RUR,Краснодар,2022-12-15T10:33:54+0300
126,Тестировщик/QA-инженер,,,,Санкт-Петербург,2022-12-15T10:56:51+0300
127,Начинающий лингвист-аналитик,25000.0,,RUR,Пермь,2022-12-15T09:21:41+0300
128,Frontend Developer,500.0,3000.0,USD,Ташкент,2022-12-15T10:32:46+0300
129,Тестировщик/QA-инженер,,,,Екатеринбург,2022-12-15T10:56:51+0300
130,Графический дизайнер в агентство маркетинга и франчайзинга (удаленно),40000.0,50000.0,RUR,Краснодар,2022-12-15T11:35:31+0300
131,Коммуникационный дизайнер,,,,Москва,2022-12-15T09:49:23+0300
132,Графический дизайнер,,,,Омск,2022-12-15T06:40:12+0300
133,Junior project-manager / Младший менеджер интернет-проектов,60000.0,,RUR,Москва,2022-12-15T11:01:49+0300
134,Стажер/PHP-программист,20000.0,,RUR,Санкт-Петербург,2022-12-15T10:44:40+0300
135,"Руководитель проектов (в сфере обучения, развития HR бренда, коммуникаций)",,,,Москва,2022-12-15T09:35:12+0300
136,Концепт-художник по окружению / 2D Environment artist,,,,Москва,2022-12-15T11:29:25+0300
137,Инженер технической поддержки,50000.0,60000.0,RUR,Томск,2022-12-15T11:37:04+0300
138,Разработчик React.js,,,,Брянск,2022-12-15T11:40:12+0300
139,"Сервисный инженер, Поволжье",45000.0,,RUR,Саратов,2022-12-15T10:34:29+0300
140,"Тестировщик, ITSM продукт",,,,Москва,2022-12-15T09:08:46+0300
141,Начинающий IT специалист,50000.0,,RUR,Кострома,2022-12-15T09:12:44+0300
142,Трейдер (фьючерсы MOEX),30000.0,,RUR,Москва,2022-12-15T09:17:35+0300
143,3D-Визуализатор,,80000.0,RUR,Новосибирск,2022-12-15T10:34:05+0300
144,IT System Specialist,,,,Ташкент,2022-12-15T09:02:31+0300
145,Junior Frontend Developer (Vue.js),40000.0,50000.0,RUR,Санкт-Петербург,2022-12-15T11:32:25+0300
146,Помощник машиниста экструдера,58000.0,,RUR,Екатеринбург,2022-12-15T08:22:13+0300
147,Оператор станков с ЧПУ,80000.0,,RUR,Ижевск,2022-12-15T11:10:55+0300
148,Механик по транспорту АТ и ДСТ,130000.0,140000.0,RUR,Санкт-Петербург,2022-12-15T08:14:53+0300
149,Инженер-механик,,170000.0,RUR,Красноярск,2022-12-15T11:52:45+0300
150,IT специалист / Системный администратор / Техник,20000.0,35000.0,RUR,Омск,2022-12-15T10:01:47+0300
151,Системный администратор,70000.0,70000.0,RUR,Краснодар,2022-12-15T09:48:22+0300
152,Системный администратор,50000.0,70000.0,RUR,Краснодар,2022-12-15T11:39:48+0300
153,Оператор станков с ЧПУ,80000.0,120000.0,RUR,Самара,2022-12-15T08:57:47+0300
154,Стажер-Автотестирование (Java),,20000.0,RUR,Уфа,2022-12-15T07:09:37+0300
155,Специалист по аналитике,,,,Москва,2022-12-15T11:02:18+0300
156,Программист,40000.0,45000.0,RUR,Киров (Кировская область),2022-12-15T09:58:28+0300
157,Computer Vision Engineer (Стажер),,,,Новосибирск,2022-12-15T06:57:15+0300
158,JAVA backend (работа на территории РФ),220000.0,,RUR,Москва,2022-12-15T10:56:29+0300
159,Сервис-инженер,150000.0,300000.0,KZT,Петропавловск,2022-12-15T10:06:00+0300
160,Web-дизайнер,120000.0,120000.0,RUR,Москва,2022-12-15T09:23:20+0300
161,Инженер КИПиА,40000.0,80000.0,RUR,Киров (Кировская область),2022-12-15T08:45:35+0300
162,Системный администратор,65000.0,,RUR,Санкт-Петербург,2022-12-15T11:39:40+0300
163,Графический дизайнер,,80000.0,RUR,Москва,2022-12-15T10:40:59+0300
164,Техник,,,,Омск,2022-12-15T07:35:02+0300
165,Middle Java-разработчик,,,,Москва,2022-12-15T11:11:23+0300
166,Ученик Токаря / фрезеровщика,,,,Москва,2022-12-15T10:33:08+0300
167,Реквизитор бутафор / крафтер,40000.0,,RUR,Казань,2022-12-15T09:46:38+0300
168,Младший инженер в команду сборки (Дубровка),,,,Санкт-Петербург,2022-12-15T11:20:18+0300
169,Помощник системного администратора,,,,Санкт-Петербург,2022-12-15T11:29:56+0300
170,Специалист 2-ой линии технической поддержки,,,,Москва,2022-12-15T10:30:20+0300
171,Начальник отдела по организации планово-предупредительных ремонтов,180000.0,200000.0,RUR,Москва,2022-12-15T06:23:24+0300
172,Дизайнер,150000.0,300000.0,KZT,Алматы,2022-12-15T07:13:51+0300
173,Специалист вечерней техподдержки (удаленно),20000.0,23000.0,RUR,Санкт-Петербург,2022-12-15T10:49:36+0300
174,Менеджер проектов,600000.0,600000.0,KZT,Алматы,2022-12-15T07:08:25+0300
175,Наладчик станков с ЧПУ,80000.0,120000.0,RUR,Нижний Новгород,2022-12-15T08:51:31+0300
176,Сервисный инженер (Саров),,,,Саров,2022-12-15T09:37:38+0300
177,Оператор станков с ЧПУ,80000.0,,RUR,Ростов-на-Дону,2022-12-15T10:10:54+0300
178,Инженер в техническое подразделение (1732),80000.0,,RUR,Москва,2022-12-15T09:47:01+0300
179,Инженер 1С,,35000.0,RUR,Санкт-Петербург,2022-12-15T11:09:34+0300
180,Младший аналитик,,,,Алматы,2022-12-15T09:53:39+0300
181,Системный администратор,45000.0,,RUR,Томск,2022-12-15T07:43:11+0300
182,Middle Java разработчик,100000.0,150000.0,RUR,Барнаул,2022-12-15T11:10:42+0300
183,Финансовый директор,80000.0,120000.0,RUR,Казань,2022-12-15T10:19:42+0300
184,Frontend разработчик на Vue.js,,,,Нижний Новгород,2022-12-15T08:06:55+0300
185,Бизнес-аналитик (регламентация бизнес-процессов),150000.0,,RUR,Москва,2022-12-15T11:13:49+0300
186,Заместитель начальника отдела планирования и учета программ и проектов,60000.0,,RUR,Уфа,2022-12-15T07:13:06+0300
187,Механик по транспорту,50000.0,50000.0,RUR,Краснодар,2022-12-15T10:31:01+0300
188,Java-разработчик,,,,Москва,2022-12-15T11:12:55+0300
189,Ведущий инженер по ИТ (дочернее общество ПАО «НК «Роснефть»),,67000.0,RUR,Екатеринбург,2022-12-15T07:34:57+0300
190,Администратор баз данных,,,,Казань,2022-12-15T08:41:05+0300
191,Техник водитель с личным автомобилем,50000.0,,RUR,Санкт-Петербург,2022-12-15T08:38:35+0300
192,Старший системный администратор,170810.0,,RUR,Москва,2022-12-15T10:34:05+0300
193,Разработчик PHP,,300000.0,RUR,Москва,2022-12-15T08:50:09+0300
194,Project manager/Customer success manager,,,,Санкт-Петербург,2022-12-15T10:09:23+0300
195,Инженер электромеханического ремонта,70000.0,120000.0,RUR,Новосибирск,2022-12-15T07:26:45+0300
196,Инженер-программист / Embedded-разработчик,150000.0,300000.0,RUR,Москва,2022-12-15T11:15:17+0300
197,"Дизайнер в сеть корейской кухни ""Миринэ""",50000.0,60000.0,RUR,Владивосток,2022-12-15T09:28:02+0300
198,Digital Manager,,,,Москва,2022-12-15T10:26:23+0300
199,Системный администратор,43000.0,53000.0,RUR,Улан-Удэ,2022-12-15T06:15:17+0300
200,Оператор ЧПУ на мультикам,180000.0,350000.0,KZT,Алматы,2022-12-15T11:57:11+0300
201,Автор-аналитик (удалённо),65000.0,85000.0,RUR,Москва,2022-12-15T10:29:09+0300
202,Руководитель проекта,,,,Москва,2022-12-15T10:57:20+0300
203,QlikView developer/Analyst/Data analyst,,,,Минск,2022-12-15T11:59:24+0300
204,Главный механик,150000.0,150000.0,RUR,Сургут,2022-12-15T07:46:19+0300
205,Оператор станка с ЧПУ,30000.0,,RUR,Оренбург,2022-12-15T09:38:17+0300
206,Инженер технической поддержки,42000.0,,RUR,Уфа,2022-12-15T06:51:37+0300
207,Инженер-механик,1500.0,2000.0,BYR,Копыль,2022-12-15T08:33:00+0300
208,Графический дизайнер,80000.0,,RUR,Санкт-Петербург,2022-12-15T09:15:44+0300
209,Линейный механик,350000.0,,KZT,Тараз,2022-12-15T11:13:15+0300
210,Главный механик,60000.0,,RUR,Москва,2022-12-15T11:02:17+0300
211,Руководитель творческой студии,,,,Москва,2022-12-15T11:21:17+0300
212,Дизайнер,80460.0,,RUR,Москва,2022-12-15T09:50:39+0300
213,Монтажник связи (А1),1500.0,2500.0,BYR,Брест,2022-12-15T11:48:24+0300
214,Аналитик WMS,160000.0,,RUR,Москва,2022-12-15T10:13:14+0300
215,Системный администратор,30000.0,40000.0,RUR,Оренбург,2022-12-15T08:47:14+0300
216,Системный администратор,,,,Новосибирск,2022-12-15T10:33:34+0300
217,Frontend developer,,,,Санкт-Петербург,2022-12-15T11:52:55+0300
218,Начинающий специалист по сервисному обслуживанию банковского оборудования,45000.0,,RUR,Краснодар,2022-12-15T09:26:37+0300
219,Специалист по IT,69000.0,75000.0,RUR,Сочи,2022-12-15T10:22:11+0300
220,Заместитель главного инженера,100000.0,,RUR,Набережные Челны,2022-12-15T08:19:23+0300
221,Линейный механик,150000.0,,RUR,Бугульма,2022-12-15T11:49:50+0300
222,Frontend разработчик (Vue.js),120000.0,200000.0,RUR,Новосибирск,2022-12-15T10:58:53+0300
223,Арт-директор / Креативный директор,110000.0,,RUR,Санкт-Петербург,2022-12-15T11:23:40+0300
224,Менеджер по продажам сельхозтехники и спецтехники,100000.0,600000.0,RUR,Уфа,2022-12-15T07:29:21+0300
225,Специалист технической поддержки,50000.0,,RUR,Обнинск,2022-12-15T11:40:31+0300
226,Инженер по надзору за монтажом слаботочных систем,,,,Новосибирск,2022-12-15T07:13:02+0300
227,Программист-разработчик,,,,Иркутск,2022-12-15T11:56:06+0300
228,Системный администратор,,,,Нижний Новгород,2022-12-15T09:45:45+0300
229,Инженер-механик,70000.0,,RUR,Дмитров,2022-12-15T11:22:04+0300
230,Ассистент клиент-менеджера,20000.0,,RUR,Орск,2022-12-15T09:33:56+0300
231,Выездной инженер технической поддержки,50000.0,,RUR,Калининград,2022-12-15T10:20:23+0300
232,"QA Engineer for multinational IT company, remote",200000.0,,RUR,Москва,2022-12-15T11:05:14+0300
233,Разработчик Python,,,,Москва,2022-12-15T11:18:32+0300
234,Линейный механик,350000.0,,KZT,Шымкент,2022-12-15T11:13:15+0300
235,Таргетолог,80000.0,160000.0,KZT,Астана,2022-12-15T09:09:38+0300
236,Арт-директор,,,,Москва,2022-12-15T10:55:25+0300
237,Системный администратор / Специалист технической поддержки,25000.0,30000.0,RUR,Ульяновск,2022-12-15T11:31:43+0300
238,Python Developer (Backend),,,,Москва,2022-12-15T11:30:08+0300
239,Дизайнер,,,,Екатеринбург,2022-12-15T10:03:59+0300
240,Программист Python,,,,Волгоград,2022-12-15T11:56:32+0300
241,Системный администратор (виртуализация и серверы),,,,Санкт-Петербург,2022-12-15T11:03:53+0300
242,Рабочий на экструзионное производство,53000.0,59000.0,RUR,Краснодар,2022-12-15T09:06:14+0300
243,Специалист Atlassian,1000.0,3000.0,USD,Ташкент,2022-12-15T09:47:03+0300
244,Инженер сервисной службы систем отопления,100000.0,,RUR,Санкт-Петербург,2022-12-15T08:38:35+0300
245,Разработчик C#,,,,Алматы,2022-12-15T11:40:24+0300
246,Графический дизайнер,30000.0,60000.0,RUR,Жуковский,2022-12-15T08:57:27+0300
247,Менеджер,26000.0,32000.0,RUR,Киров (Кировская область),2022-12-15T10:36:45+0300
248,Аналитик,,,,Москва,2022-12-15T11:50:29+0300
249,Специалист в отдел технической защиты информации,,80000.0,RUR,Москва,2022-12-15T11:47:55+0300
250,"Проектный менеджер Департамента управления ОФД ДКБ, г. Алматы",,,,Алматы,2022-12-15T08:11:42+0300
251,Front-end developer на Smart TV,,,,Санкт-Петербург,2022-12-15T11:41:48+0300
252,Оператор ЧПУ (ученик),52000.0,59000.0,RUR,Челябинск,2022-12-15T07:51:27+0300
253,Дизайнер-печатник в полиграфию,170000.0,350000.0,KZT,Астана,2022-12-15T10:18:51+0300
254,Системный администратор,100000.0,120000.0,RUR,Москва,2022-12-15T09:59:27+0300
255,Токарь,50000.0,70000.0,RUR,Воронеж,2022-12-15T11:25:44+0300
256,Middle/Senior iOS разработчик (Swift),,,,Москва,2022-12-15T09:18:43+0300
257,Токарь 16К20,109500.0,,RUR,Санкт-Петербург,2022-12-15T09:26:33+0300
258,Руководитель проектов службы Технического заказчика,,,,Москва,2022-12-15T11:59:21+0300
259,Начальник Отдела информационных технологий,,,,Павлодар,2022-12-15T07:37:55+0300
260,Техник по информационным системам,40000.0,40000.0,RUR,Томск,2022-12-15T08:16:58+0300
261,HTML/CSS developer,,,,Баку,2022-12-15T11:46:16+0300
262,Линейный механик,150000.0,,RUR,Чита,2022-12-15T11:49:50+0300
263,Web-разработчик,,,,Пермь,2022-12-15T08:51:31+0300
264,Штамповщик/штамповщица/наладчик прессового оборудования,,,,Петушки,2022-12-15T10:05:43+0300
265,Специалист по анализу данных,,,,Москва,2022-12-15T11:53:00+0300
266,Стажер - системный аналитик (ОВА),,20000.0,RUR,Уфа,2022-12-15T09:20:38+0300
267,Электрик / электромеханик,60000.0,,RUR,Санкт-Петербург,2022-12-15T10:23:26+0300
268,Менеджер технических проектов,,,,Москва,2022-12-15T11:17:19+0300
269,Андроид разработчик,700000.0,,KZT,Астана,2022-12-15T06:57:08+0300
270,Токарь-универсал,60000.0,100000.0,RUR,Санкт-Петербург,2022-12-15T09:45:59+0300
271,Наладчик оборудования,69000.0,,RUR,Санкт-Петербург,2022-12-15T09:26:16+0300
272,Системный администратор,40000.0,,RUR,Краснодар,2022-12-15T09:46:07+0300
273,Руководитель проектов бизнес-процессов,,,,Москва,2022-12-15T11:04:21+0300
274,HTML/CSS developer,,,,Тбилиси,2022-12-15T11:46:16+0300
275,Product Manager (Data Science),,,,Москва,2022-12-15T11:05:20+0300
276,Ведущий инженер отдела ИТ,,,,Тула,2022-12-15T08:57:49+0300
277,Программист С++,100000.0,150000.0,RUR,Санкт-Петербург,2022-12-15T10:46:27+0300
278,Дизайнер-конструктор,,,,Курск,2022-12-15T11:10:55+0300
279,Токарь,60000.0,,RUR,Челябинск,2022-12-15T06:01:32+0300
280,Product owner (Проект Технологическая платформа),,,,Москва,2022-12-15T09:10:03+0300
281,Junior разработчик (поисковая выдача),,65000.0,RUR,Санкт-Петербург,2022-12-15T09:25:31+0300
282,Администратор проектов,70000.0,90000.0,RUR,Москва,2022-12-15T10:56:43+0300
283,Токарь-универсал 5 разряда,132000.0,147000.0,RUR,Барнаул,2022-12-15T07:35:42+0300
284,Специалист по противодействию иностранным техническим разведкам 1 категории,,,,Тверь,2022-12-15T09:30:25+0300
285,Главный механик,70000.0,,RUR,Екатеринбург,2022-12-15T10:53:11+0300
286,Программист 1С,,,,Москва,2022-12-15T08:06:21+0300
287,Инженер по ремонту,50000.0,,RUR,Саратов,2022-12-15T09:32:25+0300
288,Writer ADME,,,,Алматы,2022-12-15T10:48:39+0300
289,Оператор станков с ЧПУ,80000.0,120000.0,RUR,Саратов,2022-12-15T08:57:47+0300
290,QA Engineer (Mobile),,,,Тбилиси,2022-12-15T10:29:56+0300
291,Специалист по техническому обслуживанию,30000.0,,RUR,Пенза,2022-12-15T08:02:23+0300
292,Администратор АТС Астериск (VoIP Asterisk),30000.0,,RUR,Москва,2022-12-15T09:59:05+0300
293,IOS developer,,,,Санкт-Петербург,2022-12-15T10:29:49+0300
294,Заместитель главного инженера,100000.0,,RUR,Альметьевск,2022-12-15T08:19:23+0300
295,Инженер по автоматизированным системам управления производством (помощник системного администратора),19000.0,20000.0,RUR,Оренбург,2022-12-15T08:43:30+0300
296,Администратор вычислительной сети отдела эксплуатации систем учета электроэнергии,,,,Тула,2022-12-15T11:12:16+0300
297,Data Engineer junior +,,,,Москва,2022-12-15T11:28:59+0300
298,Data Engineer junior +,,,,Санкт-Петербург,2022-12-15T11:28:59+0300
299,Начальник участка технического обслуживания,,,,Златоуст,2022-12-15T07:33:27+0300
300,Бизнес аналитик (E-commerce),,,,Алматы,2022-12-15T09:12:31+0300
301,Java-разработчик,80000.0,,RUR,Пермь,2022-12-15T10:44:35+0300
302,Разработчик Python (Middle),,,,Москва,2022-12-15T11:48:29+0300
303,Менеджер проектов (в структуру Заказчика),,,,Москва,2022-12-15T10:59:56+0300
304,"Бизнес-аналитик (Внедрение управленческого учета, 1С КА)",,,,Москва,2022-12-15T06:57:33+0300
